"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"0","0.738578200340271","0.738578200340271","0.738578200340271","0.5764643549919128","0.5764643549919128","0.5764643549919128","0.6225422620773315","0.6225422620773315","0.6225422620773315","0.2756801247596741","0.2756801247596741","0.2756801247596741"
"1","0.4047711491584778","0.4047711491584778","0.4047711491584778","0.37581947445869446","0.37581947445869446","0.37581947445869446","0.3948412239551544","0.3948412239551544","0.3948412239551544","1.1563198566436768","1.1563198566436768","1.1563198566436768"
"2","0.3641173243522644","0.3641173243522644","0.3641173243522644","0.34804660081863403","0.34804660081863403","0.34804660081863403","0.35649943351745605","0.35649943351745605","0.35649943351745605","0.2071339190006256","0.2071339190006256","0.2071339190006256"
"3","0.31355470418930054","0.31355470418930054","0.31355470418930054","0.28933215141296387","0.28933215141296387","0.28933215141296387","0.322061151266098","0.322061151266098","0.322061151266098","0.23249714076519012","0.23249714076519012","0.23249714076519012"
"4","0.29607924818992615","0.29607924818992615","0.29607924818992615","0.2693626582622528","0.2693626582622528","0.2693626582622528","0.31457552313804626","0.31457552313804626","0.31457552313804626","0.20039036870002747","0.20039036870002747","0.20039036870002747"
"5","0.2839581370353699","0.2839581370353699","0.2839581370353699","0.2622741758823395","0.2622741758823395","0.2622741758823395","0.29134678840637207","0.29134678840637207","0.29134678840637207","0.23772382736206055","0.23772382736206055","0.23772382736206055"
"6","0.2557622790336609","0.2557622790336609","0.2557622790336609","0.2622658908367157","0.2622658908367157","0.2622658908367157","0.2974916696548462","0.2974916696548462","0.2974916696548462","0.2132328897714615","0.2132328897714615","0.2132328897714615"
"7","0.26262810826301575","0.26262810826301575","0.26262810826301575","0.26377931237220764","0.26377931237220764","0.26377931237220764","0.2946827709674835","0.2946827709674835","0.2946827709674835","0.262006938457489","0.262006938457489","0.262006938457489"
"8","0.26644468307495117","0.26644468307495117","0.26644468307495117","0.24300529062747955","0.24300529062747955","0.24300529062747955","0.27437347173690796","0.27437347173690796","0.27437347173690796","0.2024170160293579","0.2024170160293579","0.2024170160293579"
"9","0.26407790184020996","0.26407790184020996","0.26407790184020996","0.25240010023117065","0.25240010023117065","0.25240010023117065","0.26226115226745605","0.26226115226745605","0.26226115226745605","0.18540136516094208","0.18540136516094208","0.18540136516094208"
"10","0.2632019519805908","0.2632019519805908","0.2632019519805908","0.26126953959465027","0.26126953959465027","0.26126953959465027","0.24672557413578033","0.24672557413578033","0.24672557413578033","0.4041902720928192","0.4041902720928192","0.4041902720928192"
"11","0.24318674206733704","0.24318674206733704","0.24318674206733704","0.25519436597824097","0.25519436597824097","0.25519436597824097","0.2544240653514862","0.2544240653514862","0.2544240653514862","0.21853254735469818","0.21853254735469818","0.21853254735469818"
"12","0.2652316093444824","0.2652316093444824","0.2652316093444824","0.25230520963668823","0.25230520963668823","0.25230520963668823","0.24736522138118744","0.24736522138118744","0.24736522138118744","0.17925919592380524","0.17925919592380524","0.17925919592380524"
"13","0.2424420416355133","0.2424420416355133","0.2424420416355133","0.23735706508159637","0.23735706508159637","0.23735706508159637","0.25366392731666565","0.25366392731666565","0.25366392731666565","2.0091652870178223","2.0091652870178223","2.0091652870178223"
"14","0.22905634343624115","0.22905634343624115","0.22905634343624115","0.24457816779613495","0.24457816779613495","0.24457816779613495","0.2433266043663025","0.2433266043663025","0.2433266043663025","0.2163151502609253","0.2163151502609253","0.2163151502609253"
"15","0.2262561172246933","0.2262561172246933","0.2262561172246933","0.22773271799087524","0.22773271799087524","0.22773271799087524","0.24346444010734558","0.24346444010734558","0.24346444010734558","0.5235567688941956","0.5235567688941956","0.5235567688941956"
"16","0.23295477032661438","0.23295477032661438","0.23295477032661438","0.2349095344543457","0.2349095344543457","0.2349095344543457","0.24181455373764038","0.24181455373764038","0.24181455373764038","0.18839170038700104","0.18839170038700104","0.18839170038700104"
